t v
0.0 0.0
0.069766 0.0
0.089767 0.0
0.109767 0.0
0.12977 0.0
0.14977 0.0
0.169773 0.0
0.189774 0.0
0.209778 0.0
0.22978 0.0
0.24978 0.0
0.269783 0.0
0.289783 0.0
0.309784 0.0
0.329784 0.0
0.349785 0.0
0.369788 0.0
0.389791 0.0
0.409791 0.0
0.429794 0.0
0.449797 0.0
0.469797 0.0
0.4898 0.0
0.509804 0.0
0.529804 0.0
0.549807 0.0
0.569809 0.0
0.589812 0.00751008509441
0.609813 0.0132909666336
0.629814 0.0164622716521
0.649815 0.0148895917022
0.669818 0.0134682547569
0.689818 0.0121834114019
0.709822 0.0110217427514
0.729826 0.00997128404085
0.749829 0.00902127308183
0.769829 0.00816201908325
0.789831 0.00738478833498
0.809835 0.00668170400045
0.829836 0.00604565782922
0.849841 0.00547023203187
0.869842 0.00494962989028
0.889842 0.00447861393271
0.909842 0.00405245070304
0.929847 0.00366686131159
0.949847 0.00331797708021
0.969847 0.00300229969582
0.989847 0.00271666536831
1.009847 0.00245821255642
1.05 0.00222435288105
1.070002 0.00201274489236
1.090004 0.00182127039672
1.110004 0.0016480130831
1.130006 0.00149123921809
1.150007 0.00134938020341
1.170007 0.00122101681201
1.190007 0.00110486493811
1.210007 0.000999762713333
1.230011 0.000904658856419
1.250011 0.00732151863752
1.270011 0.00662505235033
1.290012 0.00599483928115
1.310012 0.00542457660114
1.330016 0.00490856116628
1.350018 0.0164023252234
1.370018 0.0293188310828
1.390018 0.048737442226
1.410018 0.0673777894262
1.430018 0.085448365367
1.450018 0.111881038995
1.470023 0.138832113474
1.490023 0.166995558188
1.510023 0.192736635204
1.530027 0.216029208008
1.550028 0.241228698469
1.570032 0.266315187583
1.590036 0.292472486464
1.610039 0.320219682872
1.630039 0.347203723361
1.650043 0.373592564506
1.670045 0.403638421961
1.69005 0.435411537303
1.710055 0.466623056129
1.730059 0.499853481366
1.75006 0.532834321764
1.770061 0.56746651155
1.790062 0.601187693384
1.810065 0.632158282911
1.830069 0.663103264511
1.850071 0.691872379836
1.870074 0.717125353977
1.890078 0.727327737997
1.910082 0.739179368278
1.930084 0.761807659809
1.950086 0.796058977033
1.97009 0.82434778925
1.990093 0.860083460479
2.010095 0.892107569176
2.050987 0.919308291361
2.070988 0.943131433075
2.090991 0.964775920843
2.110992 0.977325772897
2.130996 0.9798934899
2.150996 0.986745013562
2.171001 1.00188222259
2.191002 1.01528581167
2.211002 1.01748104689
2.231002 1.03000801374
2.251002 1.04363991848
2.271002 1.05814037235
2.291006 1.06572016157
2.311009 1.06443386027
2.331013 1.06579574749
2.351017 1.07108245731
2.371018 1.07406003031
2.391022 1.07832692419
2.411024 1.07430558878
2.431025 1.07767692989
2.451029 1.07498097503
2.471029 1.08048003596
2.491034 1.07721471274
2.511039 1.07098859768
2.531039 1.06518586213
2.551042 1.05723811309
2.571042 1.05282041239
2.591044 1.05100193866
2.611047 1.0444555948
2.63105 1.04146970236
2.65105 1.04022526279
2.671052 1.0355595743
2.691055 1.04138935251
2.711055 1.05064927196
2.731058 1.053734482
2.751061 1.05623933318
2.771066 1.05515434544
