t v
-3.75 0.0
-3.64636980279 0.0
-3.54273960558 0.0
-3.43910940837 0.0
-3.33547921115 -0.00834577240464
-3.23184901394 -0.00319430650152
-3.12821881673 -0.000262477609787
-3.02458861952 -2.15679038964e-05
-2.92095842231 -1.77224441681e-06
-2.8173282251 -1.45626125191e-07
-2.71369802789 -1.19661645634e-08
-2.61006783067 -9.83265153631e-10
-2.50643763346 -8.07953423356e-11
-2.40280743625 -6.63898981777e-12
-2.29917723904 -5.45528795675e-13
-2.19554704183 -4.48263478449e-14
-2.09191684462 -3.68340127423e-15
-1.98828664741 -3.02666748447e-16
-1.88465645019 -2.48702635948e-17
-1.78102625298 -2.04360080665e-18
-1.67739605577 -1.6792360246e-19
-1.57376585856 -1.37983583542e-20
-1.47013566135 -1.13381734599e-21
-1.36650546414 -9.31662840659e-23
-1.26287526693 -7.65551569425e-24
-1.15924506971 -6.29057186649e-25
-1.0556148725 -5.16899135053e-26
-0.951984675292 -4.24738356844e-27
-0.848354478081 -3.49009428612e-28
-0.744724280869 -2.86782625815e-29
-0.641094083658 -2.35650580548e-30
-0.537463886446 -1.93635147719e-31
-0.433833689235 -1.59110876556e-32
-0.330203492024 0.00259089275289
-0.226573294812 0.00121931855949
-0.122943097601 0.000100191957445
-0.0193129003894 -0.00797145708904
0.084317296822 -0.0181790860164
0.187947494033 -0.0198503746745
0.291577691245 -0.00315894937671
0.395207888456 0.0239342603524
0.498838085668 0.0316487900787
0.602468282879 0.00186533029005
0.70609848009 -0.0204632790645
0.809728677302 -0.0202390283071
0.913358874513 -0.0200196410641
1.01698907172 -0.0200016139151
1.12061926894 -0.0200001326161
1.22424946615 -0.0127268037821
1.32787966336 -0.00355429783111
1.43150986057 0.0219079722745
1.53514005778 0.0879715131977
1.63877025499 0.202580356773
1.7424004522 0.352873363702
1.84603064942 0.540323375167
1.94966084663 0.745502657683
2.05329104384 0.925988803797
2.15692124105 1.00430378067
2.26055143826 0.934542913586
2.36418163547 1.00535843051
2.46781183268 1.13611157537
2.5714420299 1.16270675533
2.67507222711 1.18775730174
2.77870242432 1.18570329062
2.88233262153 1.12399230061
2.98596281874 1.09427911036
3.08959301595 1.05903688361
3.19322321316 1.01023786412
3.29685341038 0.968085073032
3.40048360759 0.910547160249
3.5041138048 0.838978887414
3.60774400201 0.808129612655
3.71137419922 0.809109324751
3.81500439643 0.849811291054
3.91863459364 0.953570587636
4.02226479086 1.07028188202
4.12589498807 1.13824542991
4.22952518528 1.16345007172
4.33315538249 1.17232601125
4.4367855797 1.15114873405
4.54041577691 1.11691016998
4.64404597412 1.06712142831
4.74767617134 1.03391695801
4.85130636855 0.982934671545
4.95493656576 0.925137286948
5.05856676297 0.885069773574
5.16219696018 0.887496556131
5.26582715739 0.906468446696
5.3694573546 0.966325486883
5.47308755182 1.06938945547
5.57671774903 1.10550871421
5.68034794624 1.10863514194
5.78397814345 1.12668973723
5.88760834066 1.16426863909
5.99123853787 1.16076918021
6.09486873508 1.1404273773
6.19849893229 1.11231305943
6.30212912951 1.06637623961
6.40575932672 1.02679608365
6.50938952393 0.960711581971
6.61301972114 0.870504564607
6.71664991835 0.803857172379
6.82028011556 0.754823209468
6.92391031277 0.708309684249
7.02754050999 0.663643595181
7.1311707072 0.634076556524
7.23480090441 0.651792471361
7.33843110162 0.711130018671
7.44206129883 0.784695703584
7.54569149604 0.893198793583
7.64932169325 0.94599422647
7.75295189047 0.951166066352
7.85658208768 0.997654401555
7.96021228489 0.988870596057
8.0638424821 0.918732340436
8.16747267931 0.865127288767
8.27110287652 0.823189884605
8.37473307373 0.780963173965
8.47836327095 0.731787525266
8.58199346816 0.637660593588
8.68562366537 0.549882058611
8.78925386258 0.514922829194
8.89288405979 0.519575596764
8.996514257 0.585863289051
9.10014445421 0.696311248209
9.20377465143 0.80987407937
9.30740484864 0.918453169702
9.41103504585 1.00785293544
9.51466524306 1.05351427468
9.61829544027 1.04252146457
9.72192563748 1.00077065152
9.82555583469 0.962326446994
9.92918603191 0.924095215429
10.0328162291 0.902383845267
10.1364464263 0.890932163576
10.2400766235 0.84480407256
10.3437068208 0.783529709603
10.447337018 0.739599052132
10.5509672152 0.688471359242
10.6545974124 0.625363083798
10.7582276096 0.579516056892
10.8618578068 0.575292451678
10.965488004 0.626571125982
11.0691182012 0.73800979128
11.1727483984 0.877979801424
11.2763785957 1.01911405405
11.3800087929 1.0868318113
11.4836389901 1.08560466131
11.5872691873 1.11131766913
11.6908993845 1.11456023674
11.7945295817 1.08496544021
11.8981597789 1.08024703774
12.0017899761 1.08067492173
12.1054201733 1.02106409725
12.2090503706 0.951163437878
12.3126805678 0.913369667397
12.416310765 0.861957694034
12.5199409622 0.779078750741
12.6235711594 0.668352339155
12.7272013566 0.633225348511
12.8308315538 0.700164653434
12.934461751 0.78867415381
13.0380919482 0.91018780128
13.1417221455 1.0192710303
13.2453523427 1.07191651689
13.3489825399 1.07492343532
13.4526127371 1.10351142966
13.5562429343 1.14275181721
13.6598731315 1.14077634686
13.7635033287 1.11884239124
13.8671335259 1.08503458722
13.9707637232 1.02340284891
14.0743939204 0.933099972184
14.1780241176 0.862865526348
14.2816543148 0.823294105175
14.385284512 0.774769221276
14.4889147092 0.737683988935
14.5925449064 0.730631396846
14.6961751036 0.752879597695
