0t 1p
0.0 0.0
0.069766 0.0
0.089767 0.0
0.109767 0.0
0.12977 0.0
0.14977 0.0
0.169773 0.0
0.189774 0.0
0.209778 0.0
0.22978 0.0
0.24978 0.0
0.269783 0.0
0.289783 0.0
0.309784 0.0
0.329784 0.0
0.349785 0.0
0.369788 0.0
0.389791 0.0
0.409791 0.0
0.429794 0.0
0.449797 0.0
0.469797 0.0
0.4898 0.0
0.509804 0.0
0.529804 0.0
0.549807 0.0
0.569809 0.0
0.589812 0.0
0.609813 0.0
0.629814 0.0
0.649815 0.0
0.669818 0.0
0.689818 0.0
0.709822 0.0
0.729826 0.0
0.749829 0.0
0.769829 0.0
0.789831 0.0
0.809835 0.0
0.829836 0.0
0.849841 0.0
0.869842 0.0
0.889842 0.0
0.909842 0.0
0.929847 0.0
0.949847 0.0
0.969847 0.0
0.989847 0.0
1.009847 0.0
1.05 0.0
1.070002 0.0
1.090004 0.0
1.110004 0.0
1.130006 0.0
1.150007 0.0
1.170007 0.0
1.190007 0.0
1.210007 0.0
1.230011 0.0
1.250011 0.0
1.270011 0.0
1.290012 0.0
1.310012 0.0
1.330016 0.0
1.350018 0.0
1.370018 0.0
1.390018 1.62188758378
1.410018 1.62188758378
1.430018 1.62188758378
1.450018 1.62188758378
1.470023 1.62188758378
1.490023 1.62188758378
1.510023 1.62188758378
1.530027 1.62188758378
1.550028 1.62188758378
1.570032 1.62188758378
1.590036 1.62188758378
1.610039 1.62188758378
1.630039 1.62188758378
1.650043 1.62188758378
1.670045 1.62188758378
1.69005 1.62188758378
1.710055 1.62188758378
1.730059 1.62188758378
1.75006 1.62188758378
1.770061 1.62188758378
1.790062 1.62188758378
1.810065 1.62188758378
1.830069 1.62188758378
1.850071 1.62188758378
1.870074 1.62188758378
1.890078 1.62188758378
1.910082 1.62188758378
1.930084 1.62188758378
1.950086 1.62188758378
1.97009 1.62188758378
1.990093 1.62188758378
2.010095 1.62188758378
2.050987 1.62188758378
2.070988 1.62188758378
2.090991 1.62188758378
2.110992 1.62188758378
2.130996 1.62188758378
2.150996 1.62188758378
2.171001 1.62188758378
2.191002 1.62188758378
2.211002 1.62188758378
2.231002 1.62188758378
2.251002 1.62188758378
2.271002 1.62188758378
2.291006 1.62188758378
2.311009 1.62188758378
2.331013 1.62188758378
2.351017 1.62188758378
2.371018 1.62188758378
2.391022 1.62188758378
2.411024 1.62188758378
2.431025 1.62188758378
2.451029 1.62188758378
2.471029 1.62188758378
2.491034 1.62188758378
2.511039 1.62188758378
2.531039 1.62188758378
2.551042 1.62188758378
2.571042 0.0
2.591044 0.0
2.611047 0.0
2.63105 0.0
2.65105 0.0
2.671052 0.0
2.691055 0.0
2.711055 0.0
2.731058 0.0
2.751061 0.0
2.771066 0.0
2.791066 0.0
2.811071 0.0
2.831071 0.0
2.851071 0.0
2.871071 0.0
2.891074 0.0
2.911076 0.0
2.931076 0.0
2.951076 0.0
2.97108 0.0
2.991083 0.0
3.01109 0.0
3.052001 0.0
3.072002 0.0
3.092003 0.0
3.112007 0.0
3.132007 0.0
3.152007 0.0
3.172007 0.0
3.192007 0.0
3.212007 0.0
